order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,signup_date,city,device_type,acquisition_channel,app_version,experiment_group,session_id,session_date,recommendation_seen,recommendation_clicked,restaurants_viewed,cart_created,order_completed,coupon_used
1477147,337525,Hangawi,Korean,30.75,Weekend,,25,20,2023-12-19 07:40:22,Hyderabad,Android,Referral,4.8.1,Variant,S100000,2024-01-26 16:25:10,1,0,4,1,1,1
1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,,25,23,2023-12-25 16:13:39,Bangalore,Android,Organic,4.9.0,Control,S100001,2024-01-26 19:11:24,1,0,1,0,1,1
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5.0,23,28,2023-09-13 08:16:28,Hyderabad,Android,Facebook,4.8.1,Control,S100002,2024-01-28 06:32:10,1,1,5,1,1,0
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3.0,25,15,2023-09-14 19:37:14,Bangalore,Android,Organic,4.9.0,Control,S100003,2024-01-20 14:12:23,1,0,1,0,1,1
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4.0,25,24,2023-10-25 16:22:31,Hyderabad,Android,Organic,4.9.0,Variant,S100004,2024-01-02 06:37:48,1,1,8,1,1,0
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3.0,20,24,2023-08-19 19:42:52,Bangalore,iOS,Google Ads,4.9.0,Control,S100005,2024-01-09 11:23:00,1,0,1,0,1,0
1477894,157711,The Meatball Shop,Italian,6.07,Weekend,,28,21,2023-12-02 02:38:12,Chennai,Android,Google Ads,4.9.0,Control,S100006,2024-01-26 20:41:29,1,1,5,1,1,0
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3.0,33,30,2023-12-30 16:18:46,Mumbai,Android,Organic,4.8.1,Control,S100007,2024-01-19 04:06:46,1,1,4,1,1,0
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5.0,21,26,2023-07-26 20:41:29,Mumbai,Android,Organic,4.8.1,Variant,S100008,2024-01-24 04:27:54,1,1,7,1,1,0
1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5.0,29,26,2023-12-29 11:32:34,Delhi,iOS,Organic,4.9.0,Variant,S100009,2024-01-14 03:34:34,1,0,3,1,1,1
1477895,143926,Big Wong Restaurant,Chinese,5.92,Weekday,,34,28,2023-10-24 06:16:54,Hyderabad,Android,Organic,4.9.0,Control,S100010,2024-01-27 07:12:35,1,0,4,1,1,0
1478437,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5.0,23,22,2023-12-16 19:43:06,Bangalore,Android,Organic,4.8.1,Control,S100011,2024-01-15 08:25:11,1,1,4,1,1,1
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5.0,23,17,2023-10-19 05:44:42,Mumbai,iOS,Referral,4.8.1,Control,S100012,2024-01-04 05:16:07,1,0,2,1,1,0
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3.0,24,23,2023-11-21 21:44:55,Mumbai,iOS,Organic,4.8.1,Control,S100013,2024-01-25 17:57:22,1,0,4,1,1,0
1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,,23,30,2023-09-22 09:10:12,Delhi,iOS,Organic,4.9.0,Control,S100014,2024-01-04 19:29:25,1,0,4,0,1,1
1477414,66222,Shake Shack,American,16.2,Weekend,5.0,33,25,2023-12-19 22:27:47,Hyderabad,iOS,Google Ads,4.8.1,Variant,S100015,2024-01-10 02:40:01,1,0,4,1,1,0
1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,,30,16,2023-10-20 10:35:19,Bangalore,Android,Facebook,4.9.0,Control,S100016,2024-01-16 20:40:55,1,0,3,0,1,0
