customer_id,session_date,experiment_group,city,device_type,acquisition_channel
337525,2023-12-26 07:40:22,Variant,Hyderabad,Android,Referral
337525,2024-01-02 07:40:22,Variant,Hyderabad,Android,Referral
337525,2024-01-08 07:40:22,Variant,Hyderabad,Android,Referral
337525,2024-01-16 07:40:22,Variant,Hyderabad,Android,Referral
337525,2024-01-26 07:40:22,Variant,Hyderabad,Android,Referral
337525,2024-01-30 07:40:22,Variant,Hyderabad,Android,Referral
358141,2024-01-04 16:13:39,Control,Bangalore,Android,Organic
358141,2024-01-12 16:13:39,Control,Bangalore,Android,Organic
358141,2024-01-16 16:13:39,Control,Bangalore,Android,Organic
66393,2023-10-06 08:16:28,Control,Hyderabad,Android,Facebook
66393,2023-10-18 08:16:28,Control,Hyderabad,Android,Facebook
66393,2023-10-22 08:16:28,Control,Hyderabad,Android,Facebook
66393,2023-11-04 08:16:28,Control,Hyderabad,Android,Facebook
106968,2023-09-15 19:37:14,Control,Bangalore,Android,Organic
106968,2023-09-16 19:37:14,Control,Bangalore,Android,Organic
106968,2023-10-05 19:37:14,Control,Bangalore,Android,Organic
106968,2023-10-07 19:37:14,Control,Bangalore,Android,Organic
106968,2023-11-05 19:37:14,Control,Bangalore,Android,Organic
76942,2023-10-26 16:22:31,Variant,Hyderabad,Android,Organic
76942,2023-11-14 16:22:31,Variant,Hyderabad,Android,Organic
76942,2023-11-23 16:22:31,Variant,Hyderabad,Android,Organic
76942,2023-11-26 16:22:31,Variant,Hyderabad,Android,Organic
76942,2023-12-01 16:22:31,Variant,Hyderabad,Android,Organic
76942,2023-12-23 16:22:31,Variant,Hyderabad,Android,Organic
147468,2023-09-09 19:42:52,Control,Bangalore,iOS,Google Ads
147468,2023-09-12 19:42:52,Control,Bangalore,iOS,Google Ads
147468,2023-10-01 19:42:52,Control,Bangalore,iOS,Google Ads
147468,2023-10-06 19:42:52,Control,Bangalore,iOS,Google Ads
147468,2023-10-15 19:42:52,Control,Bangalore,iOS,Google Ads
157711,2023-12-29 02:38:12,Control,Chennai,Android,Google Ads
157711,2024-01-12 02:38:12,Control,Chennai,Android,Google Ads
157711,2024-01-29 02:38:12,Control,Chennai,Android,Google Ads
157711,2024-01-30 02:38:12,Control,Chennai,Android,Google Ads
89574,2024-01-13 16:18:46,Control,Mumbai,Android,Organic
89574,2024-02-11 16:18:46,Control,Mumbai,Android,Organic
89574,2024-02-14 16:18:46,Control,Mumbai,Android,Organic
89574,2024-02-18 16:18:46,Control,Mumbai,Android,Organic
89574,2024-02-22 16:18:46,Control,Mumbai,Android,Organic
121706,2023-07-28 20:41:29,Variant,Mumbai,Android,Organic
121706,2023-08-01 20:41:29,Variant,Mumbai,Android,Organic
121706,2023-08-15 20:41:29,Variant,Mumbai,Android,Organic
121706,2023-08-31 20:41:29,Variant,Mumbai,Android,Organic
121706,2023-09-14 20:41:29,Variant,Mumbai,Android,Organic
121706,2023-09-20 20:41:29,Variant,Mumbai,Android,Organic
39705,2024-01-01 11:32:34,Variant,Delhi,iOS,Organic
39705,2024-01-15 11:32:34,Variant,Delhi,iOS,Organic
39705,2024-02-05 11:32:34,Variant,Delhi,iOS,Organic
143926,2023-11-06 06:16:54,Control,Hyderabad,Android,Organic
143926,2023-12-22 06:16:54,Control,Hyderabad,Android,Organic
221206,2023-12-24 19:43:06,Control,Bangalore,Android,Organic
221206,2024-01-10 19:43:06,Control,Bangalore,Android,Organic
221206,2024-02-11 19:43:06,Control,Bangalore,Android,Organic
129969,2023-10-20 05:44:42,Control,Mumbai,iOS,Referral
129969,2023-11-07 05:44:42,Control,Mumbai,iOS,Referral
104548,2023-11-27 21:44:55,Control,Mumbai,iOS,Organic
104548,2023-11-28 21:44:55,Control,Mumbai,iOS,Organic
104548,2024-01-03 21:44:55,Control,Mumbai,iOS,Organic
104548,2024-01-06 21:44:55,Control,Mumbai,iOS,Organic
104548,2024-01-19 21:44:55,Control,Mumbai,iOS,Organic
62667,2023-10-05 09:10:12,Control,Delhi,iOS,Organic
62667,2023-10-08 09:10:12,Control,Delhi,iOS,Organic
62667,2023-10-26 09:10:12,Control,Delhi,iOS,Organic
62667,2023-10-27 09:10:12,Control,Delhi,iOS,Organic
66222,2023-12-20 22:27:47,Variant,Hyderabad,iOS,Google Ads
66222,2023-12-22 22:27:47,Variant,Hyderabad,iOS,Google Ads
66222,2023-12-24 22:27:47,Variant,Hyderabad,iOS,Google Ads
66222,2024-01-27 22:27:47,Variant,Hyderabad,iOS,Google Ads
104555,2023-10-23 10:35:19,Control,Bangalore,Android,Facebook
104555,2023-11-30 10:35:19,Control,Bangalore,Android,Facebook
104555,2023-12-12 10:35:19,Control,Bangalore,Android,Facebook
139885,2023-09-07 18:21:11,Control,Bangalore,iOS,Google Ads
139885,2023-09-15 18:21:11,Control,Bangalore,iOS,Google Ads
47280,2023-11-08 20:07:30,Control,Hyderabad,Android,Organic
47280,2023-11-12 20:07:30,Control,Hyderabad,Android,Organic
47280,2023-11-29 20:07:30,Control,Hyderabad,Android,Organic
47280,2023-12-02 20:07:30,Control,Hyderabad,Android,Organic
47280,2023-12-04 20:07:30,Control,Hyderabad,Android,Organic
67487,2023-09-06 08:34:29,Variant,Mumbai,iOS,Organic
67487,2023-09-08 08:34:29,Variant,Mumbai,iOS,Organic
67487,2023-09-11 08:34:29,Variant,Mumbai,iOS,Organic
67487,2023-09-30 08:34:29,Variant,Mumbai,iOS,Organic
67487,2023-10-05 08:34:29,Variant,Mumbai,iOS,Organic
67487,2023-10-17 08:34:29,Variant,Mumbai,iOS,Organic
250494,2023-10-17 16:54:12,Variant,Mumbai,Android,Facebook
250494,2023-10-18 16:54:12,Variant,Mumbai,Android,Facebook
250494,2023-10-19 16:54:12,Variant,Mumbai,Android,Facebook
250494,2023-11-07 16:54:12,Variant,Mumbai,Android,Facebook
250494,2023-11-22 16:54:12,Variant,Mumbai,Android,Facebook
250494,2023-11-22 16:54:12,Variant,Mumbai,Android,Facebook
250494,2023-11-22 16:54:12,Variant,Mumbai,Android,Facebook
137565,2023-09-10 15:45:05,Variant,Hyderabad,iOS,Organic
137565,2023-09-24 15:45:05,Variant,Hyderabad,iOS,Organic
137565,2023-10-10 15:45:05,Variant,Hyderabad,iOS,Organic
150599,2023-12-15 11:56:07,Control,Pune,Android,Organic
150599,2024-01-02 11:56:07,Control,Pune,Android,Organic
54630,2023-07-21 10:48:11,Control,Mumbai,Android,Referral
54630,2023-08-13 10:48:11,Control,Mumbai,Android,Referral
363783,2023-08-29 07:56:13,Control,Bangalore,Android,Google Ads
363783,2023-09-01 07:56:13,Control,Bangalore,Android,Google Ads
363783,2023-09-07 07:56:13,Control,Bangalore,Android,Google Ads
363783,2023-09-14 07:56:13,Control,Bangalore,Android,Google Ads
363783,2023-10-11 07:56:13,Control,Bangalore,Android,Google Ads
41877,2023-09-12 16:11:17,Control,Bangalore,iOS,Google Ads
41877,2023-10-10 16:11:17,Control,Bangalore,iOS,Google Ads
41877,2023-10-12 16:11:17,Control,Bangalore,iOS,Google Ads
41877,2023-10-12 16:11:17,Control,Bangalore,iOS,Google Ads
41877,2023-11-05 16:11:17,Control,Bangalore,iOS,Google Ads
371590,2023-09-04 17:06:09,Variant,Bangalore,iOS,Organic
371590,2023-09-15 17:06:09,Variant,Bangalore,iOS,Organic
371590,2023-09-17 17:06:09,Variant,Bangalore,iOS,Organic
371590,2023-10-04 17:06:09,Variant,Bangalore,iOS,Organic
175290,2023-10-22 06:05:51,Variant,Bangalore,Android,Organic
175290,2023-10-26 06:05:51,Variant,Bangalore,Android,Organic
175290,2023-11-17 06:05:51,Variant,Bangalore,Android,Organic
76686,2023-07-24 04:42:35,Variant,Bangalore,Android,Facebook
76686,2023-08-18 04:42:35,Variant,Bangalore,Android,Facebook
76686,2023-08-25 04:42:35,Variant,Bangalore,Android,Facebook
149984,2023-07-15 14:45:52,Variant,Bangalore,Android,Organic
149984,2023-08-05 14:45:52,Variant,Bangalore,Android,Organic
149984,2023-08-10 14:45:52,Variant,Bangalore,Android,Organic
149984,2023-08-18 14:45:52,Variant,Bangalore,Android,Organic
149984,2023-08-18 14:45:52,Variant,Bangalore,Android,Organic
149984,2023-08-23 14:45:52,Variant,Bangalore,Android,Organic
149984,2023-08-27 14:45:52,Variant,Bangalore,Android,Organic
318874,2023-12-22 01:07:23,Control,Bangalore,Android,Google Ads
318874,2024-01-02 01:07:23,Control,Bangalore,Android,Google Ads
318874,2024-01-25 01:07:23,Control,Bangalore,Android,Google Ads
318874,2024-02-04 01:07:23,Control,Bangalore,Android,Google Ads
302790,2023-10-26 05:57:13,Variant,Bangalore,iOS,Google Ads
302790,2023-11-16 05:57:13,Variant,Bangalore,iOS,Google Ads
302790,2023-12-15 05:57:13,Variant,Bangalore,iOS,Google Ads
